Timestamp	Age	Ville_maj	Ville	Sexe	  specialite_BAC	 Nationale 	Regional	Generale	Francais	 Anglais	Loisirs	preferee 	detestee 	Skills	specialite	performance	satisfaction	  Quelle est votre filiere d cette specialite ?  						
	21	sale	sale	Homme	SP	16.4	17.2	16.8	Avance	Fluent	"Lecture, Musique, Cinema, Jeux video"	Mathematiques	Biologie	"Communication, Travail en equipe, Adaptabilite, Resolution de problemes, Esprit critique"	Ingenierie	7	4							
	19	Fes	fes	Femme	STM	13	14.7	13	Avance	Avance	"Lecture, Musique, Voyage, Technologie , Photographie"	Mathematiques	None	"Communication, Travail en equipe, Creativite, Resolution de problemes, Leadership"	Ingenierie	8	5							
	33	Mrirt	mrirt	Femme	SP	12	10	11	Avance	Intermediaire	"Lecture, Sport, Voyage, Arts plastiques , Technologie , Ecriture"	Histoire	Biologie	"Communication, Travail en equipe, Gestion du temps, Adaptabilite, Creativite, Resolution de problemes, Leadership, Empathie, Esprit critique, Autonomie"	Chimie	10	4							
	28	Rabat	rabat	Femme	SP	14	16	14	Avance	Intermediaire	"Sport, Voyage, Benevolat, Photographie"	Biologie	Physique	"Communication, Creativite, Resolution de problemes, Empathie"	Biologie	6	3							
	31	Meknes 	meknes 	Homme	SM	12.5	10.5	11.85	Intermediaire	Intermediaire	"Sport, Technologie "	Mathematiques	Litterature	Leadership	Ingenierie	7	4							
	31	Khenifra	khenifra	Femme	SP	12	14.05	13.49	Avance	Intermediaire	"Lecture, Sport, Musique, Voyage"	Physique	Biologie	"Communication, Travail en equipe, Adaptabilite, Resolution de problemes"	Physique	7	2							
	21	Fes	fes	Homme	SP	15.28	16.5	16.41	Avance	Avance	"Sport, Musique, Voyage, Cinema, Jeux video, Benevolat"	Politiques internationales et publiques	None	"Communication, Travail en equipe, Gestion du temps, Adaptabilite, Creativite, Resolution de problemes, Leadership, Empathie, Esprit critique"	Sciences politiques	8	4							
	21	Larache	larache	Femme	SP	13.89	16.25	15.75	Avance	Intermediaire	"Musique, Voyage, Cinema"	Langues	Histoire	"Travail en equipe, Gestion du temps, Creativite, Resolution de problemes, Leadership"	Informatique	1	2							
	25	Meknes	meknes	Femme	SP	10	17	13	Fluent	Avance	"Lecture, Benevolat, Ecriture"	Chimie	Mathematiques	"Adaptabilite, Creativite, Autonomie"	Biologie	8	5							
	18	Agadir	agadir	Femme	SP	12	15	12	Fluent	Fluent	"Lecture, Sport, Musique, Voyage, Cinema, Benevolat, Technologie , Ecriture"	Langues	Physique	"Communication, Travail en equipe, Gestion du temps, Adaptabilite, Creativite, Resolution de problemes, Leadership, Empathie, Esprit critique, Autonomie"	Ingenierie	8	3							
	24	Rabat	rabat	Femme	SM	14	16	15	Avance	Debutant	"Lecture, Ecriture"	Litterature	Histoire	"Travail en equipe, Gestion du temps"	Ingenierie	8	4							
	19	Fez	fez	Homme	SM	15	17	16.67	Fluent	Avance	"Lecture, Sport, Voyage, Jeux video, Arts plastiques , Technologie "	Histoire	Physique	"Communication, Travail en equipe, Gestion du temps, Adaptabilite, Esprit critique, Autonomie"	Economie	8	5							
	20	Tetouan 	tetouan 	Femme	SVT	7.98	15.7	11.92	Avance	Intermediaire	Voyage	Hydraulique 	Statistiques 	Creativite	Ingenierie	6	4							
	16	Fes	fes	Femme	SM	16	17.5	16	Avance	Avance	"Sport, Musique, Voyage, Cinema, Jeux video, Benevolat, Technologie , Photographie"	Chimie	None	"Communication, Travail en equipe, Gestion du temps, Adaptabilite, Creativite, Resolution de problemes, Leadership, Esprit critique, Autonomie"	Ingenierie	8	4							
	21	Fes	fes	Femme	SP	15.17	17.1	16.13	Avance	Avance	"Arts plastiques , Technologie "	Informatique	Histoire	Travail en equipe	Ingenierie	8	4							
	20	Ain taoujdate	ain taoujdate	Femme	Lettres	16.83	12.86	15.86	Intermediaire	Avance	"Musique, Arts plastiques , Photographie"	Histoire	Mathematiques	"Creativite, Resolution de problemes, Esprit critique"	Arts et design	2	1							
	18	casa 	casa 	Homme	SE	17	15.98	17.5	Avance	Intermediaire	"Lecture, Sport, Cinema, Ecriture"	Litterature	Physique	"Adaptabilite, Creativite, Resolution de problemes, Esprit critique"	Economie	8	5							
	21	Fes	fes	Homme	SE	14	14	15	Avance	Avance	"Sport, Jeux video, Benevolat"	Histoire	Mathematiques	"Travail en equipe, Gestion du temps, Adaptabilite, Resolution de problemes, Leadership"	Economie	7	4							
	18	El hajeb	el hajeb	Homme	SE	10.15	13.45	11.77	Intermediaire	Avance	"Musique, Jeux video, Arts plastiques "	Art	Histoire	"Creativite, Esprit critique, Aghlab hadchy maandish w 3ndi rohab jtima3i hhhhh"	Economie	3	2							
	20	fes	fes	Homme	SM	16	19.15	17.59	Avance	Avance	"Sport, Musique, Jeux video, Ecriture"	Physique	None	"Communication, Travail en equipe, Adaptabilite, Leadership, Esprit critique"	Ingenierie	7	4							
	18	fes	fes	Femme	SP	16.89	17.75	16.34	Intermediaire	Debutant	"Musique, Benevolat, Photographie"	Langues	Biologie	"Communication, Travail en equipe, Adaptabilite, Creativite, Resolution de problemes"	Economie	7	4							
	25	Fes	fes	Homme	SVT	12.7	16.5	12	Fluent	Fluent	"Lecture, Sport, Musique, Voyage, Ecriture"	Biologie	Mathematiques	"Communication, Travail en equipe, Creativite, Resolution de problemes, Leadership, Esprit critique, Autonomie"	Droit	6	3							
	20	Mohammedia 	mohammedia 	Homme	SP	13	14.8	14	Avance	Debutant	Sport	Physique	Litterature	"Travail en equipe, Gestion du temps, Autonomie"	Ingenierie	6	4							
	18	Fes	fes	Femme	SM	11.27	17.45	14.57	Fluent	Intermediaire	"Voyage, Benevolat, Ecriture, Debat - public speaking "	Mathematiques	Informatique	"Communication, Travail en equipe, Adaptabilite, Creativite, Resolution de problemes, Empathie, Esprit critique, Autonomie"	Economie	8	4							
	20	fes	fes	Femme	SP	10	16	13	Avance	Intermediaire	"Sport, Voyage, Cinema, Photographie"	Physique	Mathematiques	"Communication, Travail en equipe, Creativite, Leadership"	Economie	7	5							
	23	sale	sale	Homme	SVT	14.21	9	13.25	Intermediaire	Intermediaire	"Musique, Voyage, Benevolat"	Mathematiques	None	"Communication, Travail en equipe, Creativite"	Economie	7	4							
	28	Fes	fes	Homme	SVT	13	15	14	Intermediaire	Fluent	"Lecture, Cinema, Jeux video"	Langues	Physique	"Gestion du temps, Adaptabilite, Leadership"	Sciences humaines et sociales	7	5							
	18	Rabat 	rabat 	Femme	SVT	7.6	16.9	12.54	Intermediaire	Intermediaire	"Lecture, Sport, Musique"	Histoire	Mathematiques	"Communication, Travail en equipe, Adaptabilite, Creativite, Leadership, Empathie"	Economie	4	2							
	19	Tanger	tanger	Femme	SE	11.77	13.65	12	Avance	Avance	"Lecture, Musique, Technologie , Photographie"	Langues	Mathematiques	"Communication, Creativite, Leadership, Autonomie"	Economie	4	4							
	21	Rabat	rabat	Femme	SP	17	17	17.8	Avance	Intermediaire	"Lecture, Sport, Voyage, Benevolat, Technologie , Photographie"	Informatique	Histoire	"Communication, Travail en equipe, Creativite, Resolution de problemes, Leadership, Empathie, Esprit critique, Autonomie"	Ingenierie	8	4							
	22	Meknes	meknes	Homme	SP	11	15.75	13.37	Avance	Intermediaire	"Voyage, Jeux video, Benevolat"	Biologie	Mathematiques	"Communication, Travail en equipe, Gestion du temps"	Droit	9	5							
	24	khouribga	khouribga	Femme	SP	17	17	17	Avance	Avance	"Lecture, Musique, Technologie "	Informatique	Physique	"Communication, Travail en equipe, Gestion du temps, Creativite, Resolution de problemes, Leadership, Autonomie"	Informatique	9	5							
