Age,Ville,Sexe,specialite_BAC,Nationale,Regional,Generale,Francais,Anglais,Loisirs,preferee,detestee,Skills,specialite,performance,satisfaction
20,taza,Homme,SM,"14,37","14,3","15,37",Intermediaire,Avance,"Lecture,Musique,Jeuxvideo,Technologie",Informatique,Litterature,"Travailenequipe,Adaptabilite,Resolutiondeproblmes,Espritcritique,Autonomie",Informatique,8,5
31,sale,Homme,Lettres,11,10,11,Intermediaire,Avance,"Musique,Voyage",Langues,,"Travailenequipe,Leadership",Droit,4,3
21,tanger,Femme,SP,"14,28","17,75","19,39",Avance,Intermediaire,"Lecture,Voyage,Technologie,Ecriture,Photographie",Mathematiques,Chimie,"Travailenequipe,Adaptabilite,Creativite,Leadership,Autonomie",Ingenierie,8,4
20,casa,Homme,SM,13,11,13,Intermediaire,Avance,"Lecture,Technologie",Informatique,,"Travailenequipe,Leadership",Informatique,7,5
21,rabat,Homme,SP,"13,16","15,3","14,61",Intermediaire,Avance,"Musique,Voyage,Cinema,Jeuxvideo,Technologie,Photographie",Informatique,Litterature,"Communication,Travailenequipe,Adaptabilite,Resolutiondeproblmes,Leadership,Espritcritique,Autonomie",Informatique,9,5
22,oujda,Homme,SP,12,"9,96","12,93",Debutant,Intermediaire,"Sport,Voyage,Cinema,Jeuxvideo,Benevolat,Photographie",Informatique,Mathematiques,"Travailenequipe,Adaptabilite,Espritcritique",Physique,5,1
20,berkane,Femme,SP,"13,58","13,9","14,58",Intermediaire,Intermediaire,"Lecture,Sport",Mathematiques,Histoire,"Travailenequipe,Adaptabilite,Creativite,Resolutiondeproblmes",Informatique,5,4
20,meknes,Homme,SP,"14,27","15,2","15,58",Intermediaire,Intermediaire,"Lecture,Musique,Jeuxvideo",Informatique,Langues,"Adaptabilite,Empathie,Autonomie",Informatique,8,5
22,marrakech,Homme,SP,12,"15,25","13,71",Intermediaire,Avance,"Sport,Voyage,Technologie",Informatique,Physique,"Adaptabilite,Creativite,Resolutiondeproblmes",Informatique,4,5
20,taza,Femme,SP,"15,78","17,4","16,62",Avance,Avance,"Sport,Technologie",Informatique,,"Communication,Creativite,Resolutiondeproblmes",Informatique,9,5
20,berkane,Femme,SP,"12,82","17,66","15,5",Avance,Debutant,"Lecture,Sport,Voyage,Artsplastiques,Photographie",Informatique,Histoire,"Communication,Travailenequipe,Gestiondutemps,Adaptabilite,Creativite,Resolutiondeproblmes,Leadership,Autonomie",Informatique,8,5
21,berkane,Homme,SP,"15,57","15,5","15,54",Avance,Intermediaire,Sport,Informatique,Litterature,"Travailenequipe,Adaptabilite",Informatique,7,4
21,taourirt,Homme,SP,14,15,15,Avance,Intermediaire,"Sport,Jeuxvideo",Informatique,Langues,"Adaptabilite,Creativite,Resolutiondeproblmes",Informatique,7,4
18,marrakech,Femme,SP,14,"14,6",15,Intermediaire,Intermediaire,"Lecture,Voyage,Benevolat,Technologie",Informatique,Biologie,"Adaptabilite,Creativite,Espritcritique",Informatique,4,4
21,sale,Homme,SP,"16,4","17,2","16,8",Avance,Fluent,"Lecture,Musique,Cinema,Jeuxvideo",Mathematiques,Biologie,"Communication,Travailenequipe,Adaptabilite,Resolutiondeproblmes,Espritcritique",Ingenierie,7,4
19,fes,Femme,STM,13,"14,7",13,Avance,Avance,"Lecture,Musique,Voyage,Technologie,Photographie",Mathematiques,,"Communication,Travailenequipe,Creativite,Resolutiondeproblmes,Leadership",Ingenierie,8,5
33,mrirt,Femme,SP,12,10,11,Avance,Intermediaire,"Lecture,Sport,Voyage,Artsplastiques,Technologie,Ecriture",Histoire,Biologie,"Communication,Travailenequipe,Gestiondutemps,Adaptabilite,Creativite,Resolutiondeproblmes,Leadership,Empathie,Espritcritique,Autonomie",Chimie,10,4
28,rabat,Femme,SP,14,16,14,Avance,Intermediaire,"Sport,Voyage,Benevolat,Photographie",Biologie,Physique,"Communication,Creativite,Resolutiondeproblmes,Empathie",Biologie,6,3
